node,nuclear,coal,gas_cc,gas_oc,biomass
1,4747000,975000,929200,464600,3535000
2,4747000,975000,929200,464600,3535000
3,4747000,975000,929200,464600,3535000
4,4747000,975000,929200,464600,3535000
5,4747000,975000,929200,464600,3535000
