x1,x2
0.62054419,0.38728732
0.66532793,0.36509639
0.70036868,0.35549923
0.71400876,0.34424109
0.71976453,0.31628435
0.72997781,0.30833295
0.73812878,0.29314812
0.73875035,0.28540509
0.73001929,0.28340683
0.71951213,0.29424702
0.69058859,0.29416353
0.67509963,0.28811687
0.65868538,0.27083459
0.64196424,0.26692632
0.64018094,0.26715592
0.61685531,0.2710039
0.59330979,0.26170944
0.59439213,0.25367882
0.58106567,0.25866346
0.57200649,0.28159787
0.5705445,0.31481197
0.56448828,0.35365128
0.55679242,0.42662892
0.53333849,0.45611776
0.51968417,0.47499703
0.50818532,0.49018194
0.4547258,0.50423604
0.44332253,0.51875493
0.42505321,0.51796996
0.4226272,0.50952696
0.39897902,0.51424804
0.38285259,0.52163471
0.37590652,0.5498161
0.37301429,0.57730833
0.33686139,0.59309755
0.33898107,0.65070451
0.32846209,0.68376136
0.31599978,0.7041709
0.28014185,0.70507627
0.23949181,0.6927979
0.19710116,0.65295501
0.15663855,0.61382154
0.13086484,0.56728523
0.11479163,0.54863872
0.11010227,0.54034999
0.11140797,0.53547745
0.11713287,0.55269933
0.12973366,0.50269869
0.13268263,0.46591179
0.12725818,0.41344681
0.11928799,0.35015591
0.11031378,0.2996443
0.10380462,0.26570424
0.09249773,0.21328985
0.07739149,0.18094187
0.06561681,0.20101141
0.0595754,0.26407536
0.05760957,0.34862359
0.06569937,0.39987103
0.05962366,0.46115434
0.05587546,0.49876901
0.05466156,0.5324419
0.05493302,0.53986457
0.05334701,0.51062938
0.05377989,0.49763144
0.05337261,0.51195087
0.05062372,0.55192085
0.04433817,0.596182
0.04028637,0.62481438
0.03707118,0.64117123
0.04073667,0.63275056
0.04292658,0.63797503
0.04535691,0.61322722
0.04827265,0.57365813
0.05138721,0.55384329
0.05178378,0.5350122
0.05503744,0.52510896
0.06010366,0.53877941
0.06627701,0.52931795
0.07344079,0.51292565
0.07868454,0.52404595
0.08364905,0.51510531
0.12338714,0.49118514
0.11617247,0.46191884
0.11246161,0.44692599
0.11348955,0.4318809
0.11857196,0.42393021
0.12788513,0.41095293
0.14292266,0.39570691
0.16765127,0.38280661
0.19100257,0.38501953
0.21236581,0.37200339
0.22705683,0.35861435
0.23986815,0.33567983
0.24993968,0.31028401
0.26251588,0.30507033
0.27769501,0.31663174
0.28428312,0.35416552
0.29301096,0.41136054
0.3039696,0.4307455
0.31127212,0.45418556
0.310166,0.47804525
0.31409075,0.50629407
0.32201434,0.53867686
0.33369333,0.58639981
0.34319945,0.61285593
0.34179736,0.58013481
0.35608201,0.62461955
0.35774807,0.64222031
0.36411458,0.63552895
0.36617605,0.61435793
0.36067441,0.62414597
0.35723947,0.64723721
0.35011641,0.65402108
0.34086751,0.65204968
0.33715654,0.63156696
0.33002059,0.6113281
0.32209442,0.5970846
0.28592895,0.59663998
0.28308652,0.59065266
0.27449062,0.6126078
0.26376622,0.63358622
0.25824971,0.62686586
0.26425731,0.61922282
0.2631066,0.61634791
0.24828769,0.6086289
0.24362605,0.61373206
0.23827767,0.60731838
0.23153609,0.59756048
0.22866875,0.57781812
0.22502629,0.52037338
0.22519659,0.52847318
0.23149793,0.52820403
0.2349895,0.52822257
0.24500715,0.51699401
0.24079022,0.48941919
0.2536843,0.4727132
0.26266585,0.44380748
0.27933568,0.42117449
0.2933092,0.40297827
0.29765508,0.38994991
0.30068156,0.36758259
0.27540195,0.37740738
0.28253162,0.32503972
0.29476654,0.2660351
0.3139307,0.20879284
0.3311245,0.17234113
0.34740119,0.16587898
0.36372063,0.17135481
0.37102363,0.17605833
0.39086798,0.18401039
0.40928616,0.20153879
0.43519685,0.23354163
0.45136809,0.24381525
0.45182415,0.1441939
0.46459979,0.13170909
0.47411218,0.13711407
0.48351226,0.14333047
0.49793142,0.16766341
0.51441825,0.18228995
0.53315651,0.20117711
0.54799115,0.23899265
0.56361338,0.27989234
0.5758554,0.29000113
0.58811058,0.28404013
0.60220066,0.27163636
0.57639646,0.27058363
0.59415792,0.25135599
