set_up,obj_value_cen,VRES_share_cen,Total_generation_cen,obj_value_per,VRES_share_per,Total_generation_per
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: large, INCENTIVE: large:

",1113985633,92.96,1235181.3,1113985632.56,92.96,1235181.3
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: large, INCENTIVE: small:

",1111261201,92.16,1225133.97,1111261200.89,92.16,1225133.97
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: small, INCENTIVE: large:

",1113985633,92.96,1235181.3,1113985632.56,92.96,1235181.3
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: small, INCENTIVE: small:

",1111261201,92.16,1225133.97,1111261200.89,92.16,1225133.97
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: large, INCENTIVE: large:

",1106016580,85.36,1126021.47,1106016580.02,85.36,1126021.47
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: large, INCENTIVE: small:

",1103323917,82.72,1108896.59,1103323916.93,82.72,1108896.59
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: small, INCENTIVE: large:

",1106016580,85.36,1126021.47,1106016580.02,85.36,1126021.47
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1103323917,82.72,1108896.59,1103323916.93,82.72,1108896.59
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: large, INCENTIVE: large:

",1113985633,92.96,1235181.3,1113985632.56,92.96,1235181.3
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: large, INCENTIVE: small:

",1111261201,92.16,1225133.97,1111261200.89,92.16,1225133.97
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: small, INCENTIVE: large:

",1113985633,92.96,1235181.3,1113985632.56,92.96,1235181.3
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: small, INCENTIVE: small:

",1111261201,92.16,1225133.97,1111261200.89,92.16,1225133.97
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: large, INCENTIVE: large:

",1106016580,85.36,1126021.47,1106016580.02,85.36,1126021.47
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: large, INCENTIVE: small:

",1103323917,82.72,1108896.59,1103323916.93,82.72,1108896.59
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: large:

",1106016580,85.36,1126021.47,1106016580.02,85.36,1126021.47
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1103323917,82.72,1108896.59,1103323916.93,82.72,1108896.59
