node,nuclear,coal,gas_cc,gas_oc,biomass
1,0,1.83,2.02,1.72,0
2,0,1.83,2.02,1.72,0
3,0,1.83,2.02,1.72,0
4,0,1.83,2.02,1.72,0
5,0,1.83,2.02,1.72,0
