node,nuclear,coal,gas_cc,gas_oc,biomass
1,0,18300,20200,17170,0
2,0,18300,20200,17170,0
3,0,18300,20200,17170,0
4,0,18300,20200,17170,0
5,0,18300,20200,17170,0
