x1,x2
3263.16374642,2645.8350957
3161.59050198,2553.13718329
3103.40776972,2527.49733517
3096.50473369,2498.89904305
3166.521242,2550.17873927
3410.09979907,2758.25596819
4071.80511,3355.86165883
4773.9424891,3911.06298529
5016.53489817,4096.45881011
4981.03357002,4240.43641874
5035.27171026,4312.42522306
5000.7565301,4288.75767096
4878.47417756,4213.81042263
4801.55463322,4215.78271864
4675.32768867,4148.72465434
4610.24192038,3981.0794936
4814.37455728,3940.64742542
5133.88651069,4138.8631743
4970.18594197,4049.1237059
4578.68518424,3796.66981678
4230.5749387,3605.35710394
3950.50890546,3554.07740771
3696.08272034,3245.41308235
3413.05824309,2937.73490499
