node,nuclear,coal,gas_cc,gas_oc,biomass
1,0.1,0.2,0.5,0.5,0.2
2,0.1,0.2,0.5,0.5,0.2
3,0.1,0.2,0.5,0.5,0.2
4,0.1,0.2,0.5,0.5,0.2
5,0.1,0.2,0.5,0.5,0.2
