time,year,FIN,SWE,NOR,DEN,BAL
06.01.2018 14:00 - 06.01.2018 15:00,2018,10726,19679,19984,4205,3874
06.01.2018 15:00 - 06.01.2018 16:00,2018,11019,20185,20217,4205,4035
06.01.2018 16:00 - 06.01.2018 17:00,2018,11063,20860,20972,4485,4100
06.01.2018 17:00 - 06.01.2018 18:00,2018,11217,20877,21196,4885,4034
06.01.2018 18:00 - 06.01.2018 19:00,2018,11251,20658,21064,4814,3939
06.01.2018 19:00 - 06.01.2018 20:00,2018,11041,20264,20772,4487,3820
06.01.2018 20:00 - 06.01.2018 21:00,2018,10641,19811,20259,4205,3654
06.01.2018 21:00 - 06.01.2018 22:00,2018,10850,19170,19754,3961,3404
06.01.2018 22:00 - 06.01.2018 23:00,2018,10641,18553,19458,3759,3126
06.01.2018 23:00 - 07.01.2018 00:00,2018,10187,17765,19037,3556,2876
07.01.2018 00:00 - 07.01.2018 01:00,2018,9822,17449,18618,3357,2737
07.01.2018 01:00 - 07.01.2018 02:00,2018,9570,17240,18364,3236,2668
07.01.2018 02:00 - 07.01.2018 03:00,2018,9518,17179,18269,3185,2636
07.01.2018 03:00 - 07.01.2018 04:00,2018,9491,17139,18143,3206,2648
07.01.2018 04:00 - 07.01.2018 05:00,2018,9577,17242,18211,3248,2714
07.01.2018 05:00 - 07.01.2018 06:00,2018,9812,17438,18440,3307,2959
07.01.2018 06:00 - 07.01.2018 07:00,2018,9900,18041,18625,3467,3235
07.01.2018 07:00 - 07.01.2018 08:00,2018,10160,18480,18878,3733,3444
07.01.2018 08:00 - 07.01.2018 09:00,2018,10256,19053,19505,4040,3601
07.01.2018 09:00 - 07.01.2018 10:00,2018,10421,19579,19888,4238,3711
07.01.2018 10:00 - 07.01.2018 11:00,2018,10631,19758,20367,4312,3741
07.01.2018 11:00 - 07.01.2018 12:00,2018,10711,19861,20414,4284,3768
07.01.2018 12:00 - 07.01.2018 13:00,2018,10608,19854,20343,4190,3780
07.01.2018 13:00 - 07.01.2018 14:00,2018,10577,19538,20401,4122,3742
07.01.2018 14:00 - 07.01.2018 15:00,2018,10831,19394,20298,4119,3780
07.01.2018 15:00 - 07.01.2018 16:00,2018,11189,20098,20540,4201,3893
07.01.2018 16:00 - 07.01.2018 17:00,2018,11381,20906,20920,4584,3973
07.01.2018 17:00 - 07.01.2018 18:00,2018,11478,21231,20826,5079,3972
07.01.2018 18:00 - 07.01.2018 19:00,2018,11476,21035,20721,4985,3940
07.01.2018 19:00 - 07.01.2018 20:00,2018,11273,20544,20485,4699,3820
07.01.2018 20:00 - 07.01.2018 21:00,2018,10859,19936,20083,4390,3642
07.01.2018 21:00 - 07.01.2018 22:00,2018,11060,19176,19598,4110,3367
07.01.2018 22:00 - 07.01.2018 23:00,2018,10930,18280,19092,3815,3060
07.01.2018 23:00 - 08.01.2018 00:00,2018,10558,17614,18091,3566,2895
08.01.2018 00:00 - 08.01.2018 01:00,2018,10216,16868,17804,3430,2791
08.01.2018 01:00 - 08.01.2018 02:00,2018,9981,16652,17586,3353,2718
08.01.2018 02:00 - 08.01.2018 03:00,2018,9976,16633,17439,3351,2700
08.01.2018 03:00 - 08.01.2018 04:00,2018,10031,16869,17507,3367,2726
08.01.2018 04:00 - 08.01.2018 05:00,2018,10388,17224,17589,3438,2886
08.01.2018 05:00 - 08.01.2018 06:00,2018,11344,17794,18333,3709,3372
08.01.2018 06:00 - 08.01.2018 07:00,2018,11931,20035,19922,4376,3895
08.01.2018 07:00 - 08.01.2018 08:00,2018,12183,21992,21132,5105,4239
08.01.2018 08:00 - 08.01.2018 09:00,2018,12116,22062,21829,5361,4352
08.01.2018 09:00 - 08.01.2018 10:00,2018,12032,21783,21475,5341,4368
08.01.2018 10:00 - 08.01.2018 11:00,2018,12009,21949,21264,5315,4359
08.01.2018 11:00 - 08.01.2018 12:00,2018,11924,21991,21001,5193,4281
08.01.2018 12:00 - 08.01.2018 13:00,2018,11809,21850,20878,5093,4337
08.01.2018 13:00 - 08.01.2018 14:00,2018,11751,21664,20726,5086,4359
08.01.2018 14:00 - 08.01.2018 15:00,2018,11889,21600,20882,5060,4312
08.01.2018 15:00 - 08.01.2018 16:00,2018,12154,22023,21053,5005,4419
08.01.2018 16:00 - 08.01.2018 17:00,2018,12228,22381,21435,5251,4401
08.01.2018 17:00 - 08.01.2018 18:00,2018,12213,22475,21428,5679,4316
08.01.2018 18:00 - 08.01.2018 19:00,2018,12161,22284,21166,5422,4174
08.01.2018 19:00 - 08.01.2018 20:00,2018,11971,21783,20898,5030,4037
08.01.2018 20:00 - 08.01.2018 21:00,2018,11468,20777,20588,4690,3809
08.01.2018 21:00 - 08.01.2018 22:00,2018,11435,20118,20101,4344,3465
08.01.2018 22:00 - 08.01.2018 23:00,2018,11246,19027,19435,3971,3170
08.01.2018 23:00 - 09.01.2018 00:00,2018,10642,18069,18537,3622,2931
09.01.2018 00:00 - 09.01.2018 01:00,2018,10247,17202,17975,3409,2817
09.01.2018 01:00 - 09.01.2018 02:00,2018,10048,16916,17652,3270,2750
09.01.2018 02:00 - 09.01.2018 03:00,2018,9904,16861,17478,3200,2731
09.01.2018 03:00 - 09.01.2018 04:00,2018,9969,16917,17556,3193,2745
09.01.2018 04:00 - 09.01.2018 05:00,2018,10437,17075,17789,3192,2878
09.01.2018 05:00 - 09.01.2018 06:00,2018,11280,17738,18482,3410,3263
09.01.2018 06:00 - 09.01.2018 07:00,2018,11834,19638,19846,4011,3689
09.01.2018 07:00 - 09.01.2018 08:00,2018,12153,21393,21325,4701,3996
09.01.2018 08:00 - 09.01.2018 09:00,2018,12061,22016,21793,4899,4105
09.01.2018 09:00 - 09.01.2018 10:00,2018,11878,21584,21674,4878,4157
09.01.2018 10:00 - 09.01.2018 11:00,2018,11787,21666,21629,5034,4152
09.01.2018 11:00 - 09.01.2018 12:00,2018,11752,21518,21489,4920,4095
09.01.2018 12:00 - 09.01.2018 13:00,2018,11648,21240,21254,4809,4123
09.01.2018 13:00 - 09.01.2018 14:00,2018,11601,21077,21214,4830,4096
09.01.2018 14:00 - 09.01.2018 15:00,2018,11660,21062,21218,4741,4107
09.01.2018 15:00 - 09.01.2018 16:00,2018,11896,21483,21517,4671,4324
09.01.2018 16:00 - 09.01.2018 17:00,2018,12018,22255,21868,4884,4369
09.01.2018 17:00 - 09.01.2018 18:00,2018,12047,22493,21789,5269,4285
09.01.2018 18:00 - 09.01.2018 19:00,2018,12082,22039,21618,5060,4210
09.01.2018 19:00 - 09.01.2018 20:00,2018,11896,21676,21354,4729,4069
09.01.2018 20:00 - 09.01.2018 21:00,2018,11275,21239,21051,4382,3775
09.01.2018 21:00 - 09.01.2018 22:00,2018,11343,20596,20789,4068,3466
09.01.2018 22:00 - 09.01.2018 23:00,2018,11132,19131,19887,3740,3185
09.01.2018 23:00 - 10.01.2018 00:00,2018,10682,18371,19219,3422,2970
10.01.2018 00:00 - 10.01.2018 01:00,2018,10366,17253,18459,3204,2852
10.01.2018 01:00 - 10.01.2018 02:00,2018,10174,17330,18158,3095,2782
10.01.2018 02:00 - 10.01.2018 03:00,2018,10084,17157,17982,3063,2759
10.01.2018 03:00 - 10.01.2018 04:00,2018,10211,17245,17988,3097,2780
10.01.2018 04:00 - 10.01.2018 05:00,2018,10634,17627,18168,3202,2893
10.01.2018 05:00 - 10.01.2018 06:00,2018,11492,18406,18630,3494,3283
10.01.2018 06:00 - 10.01.2018 07:00,2018,11911,20944,20169,4167,3717
10.01.2018 07:00 - 10.01.2018 08:00,2018,12173,23086,21722,4877,4026
10.01.2018 08:00 - 10.01.2018 09:00,2018,11934,23139,22129,5095,4132
10.01.2018 09:00 - 10.01.2018 10:00,2018,11927,22827,22046,5109,4185
10.01.2018 10:00 - 10.01.2018 11:00,2018,12038,22667,21929,5209,4174
10.01.2018 11:00 - 10.01.2018 12:00,2018,12014,22389,21574,5235,4101
10.01.2018 12:00 - 10.01.2018 13:00,2018,11935,22209,21387,5165,4135
10.01.2018 13:00 - 10.01.2018 14:00,2018,11895,22214,21246,5164,4113
10.01.2018 14:00 - 10.01.2018 15:00,2018,12063,22609,21269,5045,4150
10.01.2018 15:00 - 10.01.2018 16:00,2018,12339,23038,21488,4962,4282
10.01.2018 16:00 - 10.01.2018 17:00,2018,12369,23172,21774,5127,4332
10.01.2018 17:00 - 10.01.2018 18:00,2018,12392,23077,21702,5472,4247
10.01.2018 18:00 - 10.01.2018 19:00,2018,12412,22556,21419,5214,4144
10.01.2018 19:00 - 10.01.2018 20:00,2018,12236,22280,21191,4891,4010
10.01.2018 20:00 - 10.01.2018 21:00,2018,11754,21525,20772,4604,3788
10.01.2018 21:00 - 10.01.2018 22:00,2018,11791,20253,20278,4288,3480
10.01.2018 22:00 - 10.01.2018 23:00,2018,11468,19464,19551,3938,3187
10.01.2018 23:00 - 11.01.2018 00:00,2018,11000,18442,18724,3621,3005
11.01.2018 00:00 - 11.01.2018 01:00,2018,10722,17512,18046,3407,2853
11.01.2018 01:00 - 11.01.2018 02:00,2018,10476,17127,17546,3292,2781
11.01.2018 02:00 - 11.01.2018 03:00,2018,10460,16834,17258,3240,2765
11.01.2018 03:00 - 11.01.2018 04:00,2018,10563,16732,17364,3241,2802
11.01.2018 04:00 - 11.01.2018 05:00,2018,11001,17131,17457,3303,2953
11.01.2018 05:00 - 11.01.2018 06:00,2018,11874,18006,17914,3544,3423
11.01.2018 06:00 - 11.01.2018 07:00,2018,12373,19960,19153,4228,3950
11.01.2018 07:00 - 11.01.2018 08:00,2018,12514,21590,20679,4922,4318
11.01.2018 08:00 - 11.01.2018 09:00,2018,12309,21891,21336,5156,4427
11.01.2018 09:00 - 11.01.2018 10:00,2018,12270,21496,21274,5161,4399
11.01.2018 10:00 - 11.01.2018 11:00,2018,12246,21755,21155,5227,4358
11.01.2018 11:00 - 11.01.2018 12:00,2018,12244,21739,21101,5190,4317
11.01.2018 12:00 - 11.01.2018 13:00,2018,12206,21910,20902,5099,4373
11.01.2018 13:00 - 11.01.2018 14:00,2018,12212,21977,20851,5096,4351
11.01.2018 14:00 - 11.01.2018 15:00,2018,12285,22009,21002,5048,4411
11.01.2018 15:00 - 11.01.2018 16:00,2018,12552,22440,21058,4968,4489
11.01.2018 16:00 - 11.01.2018 17:00,2018,12574,22721,21320,5148,4488
11.01.2018 17:00 - 11.01.2018 18:00,2018,12565,22804,21179,5450,4395
11.01.2018 18:00 - 11.01.2018 19:00,2018,12566,22310,20967,5181,4271
11.01.2018 19:00 - 11.01.2018 20:00,2018,12462,21879,20771,4877,4117
11.01.2018 20:00 - 11.01.2018 21:00,2018,11919,20993,20491,4541,3898
11.01.2018 21:00 - 11.01.2018 22:00,2018,12028,20139,20068,4190,3567
11.01.2018 22:00 - 11.01.2018 23:00,2018,11796,19257,19313,3849,3243
11.01.2018 23:00 - 12.01.2018 00:00,2018,11347,18245,18629,3532,2995
12.01.2018 00:00 - 12.01.2018 01:00,2018,10996,17313,17898,3309,2927
12.01.2018 01:00 - 12.01.2018 02:00,2018,10772,17035,17562,3206,2862
12.01.2018 02:00 - 12.01.2018 03:00,2018,10735,16838,17440,3147,2834
12.01.2018 03:00 - 12.01.2018 04:00,2018,10852,16890,17444,3140,2865
12.01.2018 04:00 - 12.01.2018 05:00,2018,11253,17241,17424,3211,3012
12.01.2018 05:00 - 12.01.2018 06:00,2018,12202,18235,17994,3458,3519
12.01.2018 06:00 - 12.01.2018 07:00,2018,12630,20151,19382,4129,4049
12.01.2018 07:00 - 12.01.2018 08:00,2018,12732,22400,21168,4841,4390
12.01.2018 08:00 - 12.01.2018 09:00,2018,12750,22609,21628,5087,4501
12.01.2018 09:00 - 12.01.2018 10:00,2018,12638,22383,21522,5051,4491
12.01.2018 10:00 - 12.01.2018 11:00,2018,12617,22662,21435,5106,4454
12.01.2018 11:00 - 12.01.2018 12:00,2018,12555,22516,21380,5071,4369
12.01.2018 12:00 - 12.01.2018 13:00,2018,12488,22263,21081,4947,4415
12.01.2018 13:00 - 12.01.2018 14:00,2018,12473,22162,20902,4869,4397
12.01.2018 14:00 - 12.01.2018 15:00,2018,12555,21865,20871,4741,4392
12.01.2018 15:00 - 12.01.2018 16:00,2018,12783,21740,20895,4675,4477
12.01.2018 16:00 - 12.01.2018 17:00,2018,12801,21940,21070,4882,4506
12.01.2018 17:00 - 12.01.2018 18:00,2018,12755,22095,21078,5206,4400
12.01.2018 18:00 - 12.01.2018 19:00,2018,12677,21803,20975,5040,4270
12.01.2018 19:00 - 12.01.2018 20:00,2018,12423,20873,20659,4643,4128
12.01.2018 20:00 - 12.01.2018 21:00,2018,11876,19840,20033,4290,3891
12.01.2018 21:00 - 12.01.2018 22:00,2018,11917,19217,19459,4006,3589
12.01.2018 22:00 - 12.01.2018 23:00,2018,11622,18206,18958,3748,3302
12.01.2018 23:00 - 13.01.2018 00:00,2018,11131,17768,18451,3461,3087
13.01.2018 00:00 - 13.01.2018 01:00,2018,10699,16915,17910,3252,2942
13.01.2018 01:00 - 13.01.2018 02:00,2018,10401,16640,17521,3103,2872
13.01.2018 02:00 - 13.01.2018 03:00,2018,10342,16497,17222,3010,2839
13.01.2018 03:00 - 13.01.2018 04:00,2018,10339,16494,17143,2990,2846
13.01.2018 04:00 - 13.01.2018 05:00,2018,10472,16456,17033,3007,2935
13.01.2018 05:00 - 13.01.2018 06:00,2018,10713,16690,17281,3088,3182
13.01.2018 06:00 - 13.01.2018 07:00,2018,10807,17244,17678,3297,3522
13.01.2018 07:00 - 13.01.2018 08:00,2018,11199,18181,18368,3620,3802
13.01.2018 08:00 - 13.01.2018 09:00,2018,11144,18957,19020,3976,3959
13.01.2018 09:00 - 13.01.2018 10:00,2018,11236,19566,19754,4212,4033
13.01.2018 10:00 - 13.01.2018 11:00,2018,11309,20198,20228,4371,4056
13.01.2018 11:00 - 13.01.2018 12:00,2018,11328,20372,20333,4398,4030
13.01.2018 12:00 - 13.01.2018 13:00,2018,11368,20395,20296,4337,4009
13.01.2018 13:00 - 13.01.2018 14:00,2018,11334,20270,20127,4277,3994
13.01.2018 14:00 - 13.01.2018 15:00,2018,11549,20068,19995,4251,4014
13.01.2018 15:00 - 13.01.2018 16:00,2018,11844,20263,20075,4283,4139
13.01.2018 16:00 - 13.01.2018 17:00,2018,12038,20861,20477,4475,4204
13.01.2018 17:00 - 13.01.2018 18:00,2018,12092,20948,20670,4832,4120
13.01.2018 18:00 - 13.01.2018 19:00,2018,11979,20718,20552,4689,4075
13.01.2018 19:00 - 13.01.2018 20:00,2018,11610,20019,20143,4302,3957
13.01.2018 20:00 - 13.01.2018 21:00,2018,11099,19303,19568,4027,3782
13.01.2018 21:00 - 13.01.2018 22:00,2018,11210,18653,19057,3790,3524
13.01.2018 22:00 - 13.01.2018 23:00,2018,11034,17955,18623,3589,3272
13.01.2018 23:00 - 14.01.2018 00:00,2018,10579,17326,18101,3346,3062
14.01.2018 00:00 - 14.01.2018 01:00,2018,10182,16791,17620,3185,2911
14.01.2018 01:00 - 14.01.2018 02:00,2018,9927,16613,17372,3104,2834
14.01.2018 02:00 - 14.01.2018 03:00,2018,9789,16417,17205,3052,2800
14.01.2018 03:00 - 14.01.2018 04:00,2018,9808,16463,17210,3056,2806
14.01.2018 04:00 - 14.01.2018 05:00,2018,9871,16572,17176,3068,2884
14.01.2018 05:00 - 14.01.2018 06:00,2018,10044,16625,17238,3113,3098
14.01.2018 06:00 - 14.01.2018 07:00,2018,10103,17032,17444,3259,3399
14.01.2018 07:00 - 14.01.2018 08:00,2018,10380,17550,17825,3503,3660
14.01.2018 08:00 - 14.01.2018 09:00,2018,10466,18280,18310,3791,3840
14.01.2018 09:00 - 14.01.2018 10:00,2018,10629,19014,18925,4023,3942
14.01.2018 10:00 - 14.01.2018 11:00,2018,10754,19535,19415,4223,3982
14.01.2018 11:00 - 14.01.2018 12:00,2018,10801,19934,19699,4265,3965
14.01.2018 12:00 - 14.01.2018 13:00,2018,10810,19912,19746,4207,3961
14.01.2018 13:00 - 14.01.2018 14:00,2018,10786,19788,19767,4180,3950
14.01.2018 14:00 - 14.01.2018 15:00,2018,10930,19892,19955,4155,3960
14.01.2018 15:00 - 14.01.2018 16:00,2018,11276,20274,20158,4173,4107
14.01.2018 16:00 - 14.01.2018 17:00,2018,11367,20928,20420,4443,4306
14.01.2018 17:00 - 14.01.2018 18:00,2018,11363,21188,20412,4875,4253
