time,year,FIN,SWE,NOR,DEN,BAL
03.01.2018 07:00 - 03.01.2018 08:00,2018,0.445167277,0.387189174,0.261505852,0.921569378,0.517478553
03.01.2018 08:00 - 03.01.2018 09:00,2018,0.427710484,0.393702654,0.267060091,0.886415027,0.549078808
03.01.2018 09:00 - 03.01.2018 10:00,2018,0.397613433,0.406129406,0.278788247,0.843415259,0.583573833
03.01.2018 10:00 - 03.01.2018 11:00,2018,0.350951983,0.428909842,0.284451931,0.792775199,0.592029736
03.01.2018 11:00 - 03.01.2018 12:00,2018,0.329159284,0.428788063,0.282003161,0.697544277,0.631487355
03.01.2018 12:00 - 03.01.2018 13:00,2018,0.32307355,0.437160223,0.298409767,0.607836338,0.658295096
03.01.2018 13:00 - 03.01.2018 14:00,2018,0.328105628,0.445665414,0.294484125,0.529032417,0.675041607
03.01.2018 14:00 - 03.01.2018 15:00,2018,0.333322759,0.452369672,0.297660986,0.399888143,0.690164132
03.01.2018 15:00 - 03.01.2018 16:00,2018,0.331285941,0.459561325,0.305026977,0.319523895,0.700785325
03.01.2018 16:00 - 03.01.2018 17:00,2018,0.328353632,0.462843692,0.312228508,0.312883008,0.712410133
03.01.2018 17:00 - 03.01.2018 18:00,2018,0.31981179,0.452073521,0.32216037,0.285788351,0.713190682
03.01.2018 18:00 - 03.01.2018 19:00,2018,0.306599646,0.429912011,0.330517008,0.231113099,0.714149787
03.01.2018 19:00 - 03.01.2018 20:00,2018,0.28144863,0.405507223,0.337495697,0.198324376,0.705879532
03.01.2018 20:00 - 03.01.2018 21:00,2018,0.263869987,0.38470445,0.335730299,0.20453818,0.698384076
03.01.2018 21:00 - 03.01.2018 22:00,2018,0.259875878,0.373862565,0.329379186,0.222401397,0.69504432
03.01.2018 22:00 - 03.01.2018 23:00,2018,0.238266852,0.386718012,0.339216898,0.289287618,0.680825837
03.01.2018 23:00 - 04.01.2018 00:00,2018,0.231922486,0.386006173,0.318156258,0.30839216,0.691661804
04.01.2018 00:00 - 04.01.2018 01:00,2018,0.236623777,0.391549933,0.309325286,0.329656297,0.710844391
04.01.2018 01:00 - 04.01.2018 02:00,2018,0.240895871,0.400013993,0.310029301,0.368617043,0.735671658
04.01.2018 02:00 - 04.01.2018 03:00,2018,0.25068735,0.406239735,0.304940263,0.403094502,0.749506926
04.01.2018 03:00 - 04.01.2018 04:00,2018,0.265154934,0.406737741,0.294622758,0.421203674,0.756298819
04.01.2018 04:00 - 04.01.2018 05:00,2018,0.286736711,0.398923458,0.285323863,0.440510629,0.765768431
04.01.2018 05:00 - 04.01.2018 06:00,2018,0.302494152,0.389775522,0.282680272,0.45392328,0.779174752
04.01.2018 06:00 - 04.01.2018 07:00,2018,0.321159702,0.386385027,0.28043304,0.46492796,0.788978991
04.01.2018 07:00 - 04.01.2018 08:00,2018,0.348480153,0.389896925,0.281972174,0.464488173,0.794047853
04.01.2018 08:00 - 04.01.2018 09:00,2018,0.373021106,0.396405958,0.29155997,0.454685898,0.791233989
04.01.2018 09:00 - 04.01.2018 10:00,2018,0.388640378,0.394637736,0.301509747,0.441922731,0.789195934
04.01.2018 10:00 - 04.01.2018 11:00,2018,0.396577739,0.41204059,0.319223463,0.408478197,0.763361737
04.01.2018 11:00 - 04.01.2018 12:00,2018,0.431763755,0.406170913,0.311572179,0.402666138,0.763812184
04.01.2018 12:00 - 04.01.2018 13:00,2018,0.455784394,0.409618314,0.31350364,0.375302539,0.761282671
04.01.2018 13:00 - 04.01.2018 14:00,2018,0.480224122,0.413584132,0.310336391,0.324654678,0.766080579
04.01.2018 14:00 - 04.01.2018 15:00,2018,0.500084375,0.415623495,0.321408054,0.286446535,0.753860381
04.01.2018 15:00 - 04.01.2018 16:00,2018,0.511598681,0.414319206,0.338433193,0.259158788,0.747090057
04.01.2018 16:00 - 04.01.2018 17:00,2018,0.525390474,0.419372791,0.348597873,0.21553218,0.744071325
04.01.2018 17:00 - 04.01.2018 18:00,2018,0.544170846,0.430124834,0.35578384,0.168644059,0.742778573
04.01.2018 18:00 - 04.01.2018 19:00,2018,0.559505947,0.435441619,0.369919117,0.140659937,0.74154146
04.01.2018 19:00 - 04.01.2018 20:00,2018,0.586002091,0.447165607,0.384481113,0.127346389,0.741295503
04.01.2018 20:00 - 04.01.2018 21:00,2018,0.606327465,0.451631492,0.383044352,0.117335166,0.744742819
04.01.2018 21:00 - 04.01.2018 22:00,2018,0.628257115,0.455402694,0.381164678,0.112012638,0.748763472
04.01.2018 22:00 - 04.01.2018 23:00,2018,0.620488512,0.463130955,0.367527691,0.115871676,0.743452151
04.01.2018 23:00 - 05.01.2018 00:00,2018,0.632016092,0.458582225,0.364722793,0.119101778,0.741098426
05.01.2018 00:00 - 05.01.2018 01:00,2018,0.637385093,0.449067368,0.368372935,0.132136552,0.739829139
05.01.2018 01:00 - 05.01.2018 02:00,2018,0.629248973,0.432721122,0.373354655,0.156372703,0.752080594
05.01.2018 02:00 - 05.01.2018 03:00,2018,0.620287687,0.415288271,0.382309706,0.166283632,0.772355397
05.01.2018 03:00 - 05.01.2018 04:00,2018,0.610782851,0.407478229,0.387715947,0.166878292,0.790521517
05.01.2018 04:00 - 05.01.2018 05:00,2018,0.602177542,0.407694231,0.391298309,0.163306118,0.802687045
05.01.2018 05:00 - 05.01.2018 06:00,2018,0.590055019,0.406836687,0.383628278,0.162246155,0.816058281
05.01.2018 06:00 - 05.01.2018 07:00,2018,0.583222076,0.399236544,0.37745186,0.159780968,0.824929193
05.01.2018 07:00 - 05.01.2018 08:00,2018,0.585181716,0.391005287,0.373023897,0.152508117,0.832403858
05.01.2018 08:00 - 05.01.2018 09:00,2018,0.577704301,0.386733887,0.370186202,0.145200318,0.838094483
05.01.2018 09:00 - 05.01.2018 10:00,2018,0.567801307,0.38931243,0.362298113,0.138732366,0.828757141
05.01.2018 10:00 - 05.01.2018 11:00,2018,0.514527145,0.40127257,0.348977297,0.145846359,0.813626821
05.01.2018 11:00 - 05.01.2018 12:00,2018,0.50016307,0.410937919,0.335890512,0.141250472,0.789671989
