node,nuclear,coal,gas_cc,gas_oc,biomass
1,121200,19000,20200,17170,101000
2,121200,19000,20200,17170,101000
3,121200,19000,20200,17170,101000
4,121200,19000,20200,17170,101000
5,121200,19000,20200,17170,101000
