Avail_Sol,Avail_Wind_On,Avail_Wind_Off
0,0.605483109,0.824101577
0,0.62332932,0.831704066
0,0.647334823,0.831856172
0,0.661319209,0.845232531
0,0.665489471,0.833059042
0,0.670744671,0.801877776
0,0.666755165,0.754963644
0.000212897,0.654642188,0.726107564
0.018164669,0.65315168,0.710699423
0.05075529,0.648942225,0.737379869
0.081345136,0.622451265,0.807276923
0.094485986,0.612415282,0.803324539
0.088213316,0.607905647,0.801972881
0.068089253,0.60935737,0.809367464
0.04600603,0.589971414,0.843406286
0.004952302,0.575309236,0.884235216
0,0.56820947,0.90812117
0,0.559485435,0.919875572
0,0.538111701,0.92818472
0,0.514292484,0.93298064
0,0.485504578,0.934256989
0,0.461196142,0.93188666
0,0.444003797,0.925356823
0,0.421815677,0.916307257
0,0.41141336,0.91073348
0,0.410593934,0.901808421
0,0.417760573,0.88404271
0,0.42599052,0.86939892
0,0.415890744,0.854982226
0,0.412147527,0.827289275
0,0.403609115,0.803418571
0.000267791,0.394906321,0.795465954
0.05462972,0.37298324,0.783179837
0.1475592,0.331473489,0.763958098
0.18574074,0.321807961,0.776556601
0.188523083,0.299501104,0.770017563
0.155032789,0.284948602,0.747318033
0.102539069,0.272901182,0.737698975
0.035576455,0.28535889,0.742700699
0.001816537,0.294416028,0.745119818
0,0.299240146,0.747858857
0,0.298557008,0.754902225
0,0.294030123,0.761817012
0,0.289962868,0.765513306
0,0.286045079,0.757983095
0,0.277651319,0.750413625
0,0.25506205,0.756767544
0,0.252644289,0.736827905
0,0.250150294,0.716078962
0,0.239734159,0.695747448
0,0.22678652,0.685853324
0,0.229521788,0.685837874
0,0.246793047,0.675230623
0,0.278589505,0.657674022
0,0.318543953,0.661954842
0.000150734,0.364903426,0.67005368
0.018452321,0.417238618,0.680918998
0.071241229,0.479734127,0.687413539
0.08506714,0.476451229,0.707608242
0.087419657,0.535372012,0.727602697
0.068186898,0.557525751,0.759064441
0.052973119,0.566755634,0.78332758
0.028274238,0.582229805,0.798098459
0.002045287,0.59683415,0.8047365
6.28E-10,0.608424107,0.816396158
0,0.616352837,0.810028526
0,0.617302632,0.810996941
0,0.605766513,0.805992551
0,0.603953489,0.792814663
0,0.607473277,0.782615363
0,0.582839364,0.77881231
0,0.605861454,0.777462153
0,0.627677849,0.794010933
0,0.648862921,0.822480395
0,0.663610382,0.835403469
0,0.672761397,0.839836241
0,0.682660017,0.848876845
0,0.694675267,0.863674237
0,0.698316896,0.879641086
0.000265784,0.700142957,0.887952748
0.050305815,0.691822529,0.890645448
0.09676379,0.685862913,0.892528955
0.12145204,0.639111334,0.88761214
0.13346507,0.63432254,0.893301828
0.13649838,0.632373865,0.890191476
0.104479787,0.643225318,0.888935839
0.072896242,0.622395259,0.885325503
0.007487408,0.612939033,0.881241081
1.69E-09,0.612319012,0.875823637
0,0.617007538,0.868549607
0,0.620867374,0.862215546
0,0.624325566,0.85826544
